indication_mesh_id,indication_mesh_term,mesh2026_preferred_term,n_pairs,n_genes,n_A,n_B,candidate_source,candidate_trait_key,candidate_trait_name,phenotype_id,genome_build,mapping_tier,mapping_rationale,clinical_domain,canonical_group,pops_available,non_eur_pops_available,source_verified,candidate_status,reviewer_decision,reviewer_notes,analysis_role,locked_mapping_tier,locking_reason,mapping_uid
D000755,"Anemia, Sickle Cell","Anemia, Sickle Cell",2,2,0,2,Pan-UKB,Pan-UKB::continuous|30030|both_sexes||irnt,Haematocrit percentage,continuous|30030|both_sexes||irnt,GRCh37,Direct quantitative readout,Standard red-cell measures characterize anemia and major subtypes.,hematology,haematocrit,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_e62e8686e808e1de
D000755,"Anemia, Sickle Cell","Anemia, Sickle Cell",2,2,0,2,Pan-UKB,Pan-UKB::continuous|30020|both_sexes||irnt,Haemoglobin concentration,continuous|30020|both_sexes||irnt,GRCh37,Direct quantitative readout,Standard red-cell measures characterize anemia and major subtypes.,hematology,haemoglobin,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_a5dde82e629cdd69
D000755,"Anemia, Sickle Cell","Anemia, Sickle Cell",2,2,0,2,Pan-UKB,Pan-UKB::continuous|30040|both_sexes||irnt,Mean corpuscular volume,continuous|30040|both_sexes||irnt,GRCh37,Direct quantitative readout,Standard red-cell measures characterize anemia and major subtypes.,hematology,mean_corpuscular_volume,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_f6136af0565dc93f
D005922,"Glomerulonephritis, IGA","Glomerulonephritis, IGA",2,2,0,2,Pan-UKB,Pan-UKB::biomarkers|30700|both_sexes||irnt,Creatinine,biomarkers|30700|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,serum_creatinine,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_4bff57d6c1e71213
D005922,"Glomerulonephritis, IGA","Glomerulonephritis, IGA",2,2,0,2,Pan-UKB,Pan-UKB::biomarkers|30720|both_sexes||irnt,Cystatin C,biomarkers|30720|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,cystatin_c,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_a8c38ba818e38365
D005922,"Glomerulonephritis, IGA","Glomerulonephritis, IGA",2,2,0,2,Pan-UKB,Pan-UKB::continuous|eGFRcreacys|both_sexes||irnt,"Estimated glomerular filtration rate, cystain C",continuous|eGFRcreacys|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,egfr_cystatin_c,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_988bfdeb00c80053
D005922,"Glomerulonephritis, IGA","Glomerulonephritis, IGA",2,2,0,2,Pan-UKB,Pan-UKB::continuous|eGFR|both_sexes||irnt,"Estimated glomerular filtration rate, serum creatinine",continuous|eGFR|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,egfr_creatinine,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,PRIMARY,Proxy biomarker,Locked as the single primary representation of this indication.,map_8b0167f355767b4c
D005922,"Glomerulonephritis, IGA","Glomerulonephritis, IGA",2,2,0,2,Pan-UKB,Pan-UKB::continuous|eGFRcys|both_sexes||irnt,"Estimated glomerular filtration rate, serum creatinine + cystain C",continuous|eGFRcys|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,egfr_creatinine_cystatin_c,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_b769d2557192a963
D006073,Gout,Gout,2,2,1,1,GBMI,GBMI::Gout,Gout,Gout,GRCh38,Direct disease,The GBMI endpoint is an exact or clinically equivalent disease endpoint.,direct_disease,Gout,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",True,REVIEW,,,PRIMARY,Direct disease,Locked as the single primary representation of this indication.,map_71ba0e23fe68c32e
D006255,"Rhinitis, Allergic, Seasonal","Rhinitis, Allergic, Seasonal",2,2,0,2,Pan-UKB,Pan-UKB::continuous|30150|both_sexes||irnt,Eosinophill count,continuous|30150|both_sexes||irnt,GRCh37,Proxy biomarker,Eosinophil count is an allergic-inflammatory biomarker rather than the disease endpoint.,hematology_allergy,eosinophil_count,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_68fe0b2b5bd7b2d4
D003928,Diabetic Nephropathies,Diabetic Nephropathies,1,1,0,1,Pan-UKB,Pan-UKB::biomarkers|30700|both_sexes||irnt,Creatinine,biomarkers|30700|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,serum_creatinine,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_5a173a0626cfd370
D003928,Diabetic Nephropathies,Diabetic Nephropathies,1,1,0,1,Pan-UKB,Pan-UKB::biomarkers|30720|both_sexes||irnt,Cystatin C,biomarkers|30720|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,cystatin_c,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_2ec37ff17e576812
D003928,Diabetic Nephropathies,Diabetic Nephropathies,1,1,0,1,Pan-UKB,Pan-UKB::continuous|eGFRcreacys|both_sexes||irnt,"Estimated glomerular filtration rate, cystain C",continuous|eGFRcreacys|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,egfr_cystatin_c,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_237af7c6f0e79465
D003928,Diabetic Nephropathies,Diabetic Nephropathies,1,1,0,1,Pan-UKB,Pan-UKB::continuous|eGFR|both_sexes||irnt,"Estimated glomerular filtration rate, serum creatinine",continuous|eGFR|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,egfr_creatinine,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,PRIMARY,Proxy biomarker,Locked as the single primary representation of this indication.,map_b559a03b2194c750
D003928,Diabetic Nephropathies,Diabetic Nephropathies,1,1,0,1,Pan-UKB,Pan-UKB::continuous|eGFRcys|both_sexes||irnt,"Estimated glomerular filtration rate, serum creatinine + cystain C",continuous|eGFRcys|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,egfr_creatinine_cystatin_c,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_9eebacb52f0633f9
D016889,Endometrial Neoplasms,Endometrial Neoplasms,1,1,0,1,GBMI,GBMI::UtC,Uterine cancer,UtC,GRCh38,Direct disease,The GBMI endpoint is an exact or clinically equivalent disease endpoint.,direct_disease,UtC,,,False,SOURCE_NOT_ELIGIBLE,,,REJECT,Direct disease,Source lacks verified EUR plus non-EUR cross-ancestry data.,map_2678a620c9639016
D006333,Heart Failure,Heart Failure,1,1,0,1,GBMI,GBMI::HF,Heart failure,HF,GRCh38,Direct disease,The GBMI endpoint is an exact or clinically equivalent disease endpoint.,direct_disease,HF,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",True,REVIEW,,,PRIMARY,Direct disease,Locked as the single primary representation of this indication.,map_f40814641878ba92
D006934,Hypercalcemia,Hypercalcemia,1,1,1,0,Pan-UKB,Pan-UKB::biomarkers|30680|both_sexes||irnt,Calcium,biomarkers|30680|both_sexes||irnt,GRCh37,Direct quantitative readout,Serum calcium directly represents the indication.,mineral,calcium,"CSA,EUR",CSA,True,REVIEW,,,PRIMARY,Direct quantitative readout,Locked as the single primary representation of this indication.,map_db7b3c370acd17a2
D006996,Hypocalcemia,Hypocalcemia,1,1,0,1,Pan-UKB,Pan-UKB::biomarkers|30680|both_sexes||irnt,Calcium,biomarkers|30680|both_sexes||irnt,GRCh37,Direct quantitative readout,Serum calcium directly represents the indication.,mineral,calcium,"CSA,EUR",CSA,True,REVIEW,,,PRIMARY,Direct quantitative readout,Locked as the single primary representation of this indication.,map_1486c473da98bf83
D017674,Hypophosphatemia,Hypophosphatemia,1,1,0,1,Pan-UKB,Pan-UKB::biomarkers|30810|both_sexes||irnt,Phosphate,biomarkers|30810|both_sexes||irnt,GRCh37,Direct quantitative readout,Serum phosphate directly represents the indication.,mineral,phosphate,"CSA,EUR",CSA,True,REVIEW,,,PRIMARY,Direct quantitative readout,Locked as the single primary representation of this indication.,map_cc39e4e4907a27bd
D007970,Leukopenia,Leukopenia,1,1,1,0,Pan-UKB,Pan-UKB::continuous|30000|both_sexes||irnt,White blood cell (leukocyte) count,continuous|30000|both_sexes||irnt,GRCh37,Direct quantitative readout,White blood cell count directly represents the indication.,hematology,white_blood_cell_count,"CSA,EUR",CSA,True,REVIEW,,,PRIMARY,Direct quantitative readout,Locked as the single primary representation of this indication.,map_2e60e69f7f61359d
D008103,Liver Cirrhosis,Liver Cirrhosis,1,1,0,1,Pan-UKB,Pan-UKB::biomarkers|30620|both_sexes||irnt,Alanine aminotransferase,biomarkers|30620|both_sexes||irnt,GRCh37,Proxy biomarker,Liver enzymes and albumin measure hepatic injury or function rather than a specific liver diagnosis.,hepatic,alanine_aminotransferase,"AFR,CSA,EUR","AFR,CSA",True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_f067dbb6f8c37ca3
D008103,Liver Cirrhosis,Liver Cirrhosis,1,1,0,1,Pan-UKB,Pan-UKB::biomarkers|30600|both_sexes||irnt,Albumin,biomarkers|30600|both_sexes||irnt,GRCh37,Proxy biomarker,Liver enzymes and albumin measure hepatic injury or function rather than a specific liver diagnosis.,hepatic,albumin,"AFR,CSA,EUR","AFR,CSA",True,REVIEW,,,PRIMARY,Proxy biomarker,Locked as the single primary representation of this indication.,map_d804ea212772b9fa
D008103,Liver Cirrhosis,Liver Cirrhosis,1,1,0,1,Pan-UKB,Pan-UKB::biomarkers|30610|both_sexes||irnt,Alkaline phosphatase,biomarkers|30610|both_sexes||irnt,GRCh37,Proxy biomarker,Liver enzymes and albumin measure hepatic injury or function rather than a specific liver diagnosis.,hepatic_bone,alkaline_phosphatase,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_4301372338ca851e
D008103,Liver Cirrhosis,Liver Cirrhosis,1,1,0,1,Pan-UKB,Pan-UKB::biomarkers|30730|both_sexes||irnt,Gamma glutamyltransferase,biomarkers|30730|both_sexes||irnt,GRCh37,Proxy biomarker,Liver enzymes and albumin measure hepatic injury or function rather than a specific liver diagnosis.,hepatic,gamma_glutamyltransferase,"CSA,EAS,EUR","CSA,EAS",True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_902df7f778ec918a
D008105,"Liver Cirrhosis, Biliary","Liver Cirrhosis, Biliary",1,1,0,1,Pan-UKB,Pan-UKB::biomarkers|30620|both_sexes||irnt,Alanine aminotransferase,biomarkers|30620|both_sexes||irnt,GRCh37,Proxy biomarker,Liver enzymes and albumin measure hepatic injury or function rather than a specific liver diagnosis.,hepatic,alanine_aminotransferase,"AFR,CSA,EUR","AFR,CSA",True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_4b6884cf0ea1e824
D008105,"Liver Cirrhosis, Biliary","Liver Cirrhosis, Biliary",1,1,0,1,Pan-UKB,Pan-UKB::biomarkers|30600|both_sexes||irnt,Albumin,biomarkers|30600|both_sexes||irnt,GRCh37,Proxy biomarker,Liver enzymes and albumin measure hepatic injury or function rather than a specific liver diagnosis.,hepatic,albumin,"AFR,CSA,EUR","AFR,CSA",True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_0b9f9d3bae4b9355
D008105,"Liver Cirrhosis, Biliary","Liver Cirrhosis, Biliary",1,1,0,1,Pan-UKB,Pan-UKB::biomarkers|30610|both_sexes||irnt,Alkaline phosphatase,biomarkers|30610|both_sexes||irnt,GRCh37,Proxy biomarker,Liver enzymes and albumin measure hepatic injury or function rather than a specific liver diagnosis.,hepatic_bone,alkaline_phosphatase,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,PRIMARY,Proxy biomarker,Locked as the single primary representation of this indication.,map_3a1f8d4da4a835e2
D008105,"Liver Cirrhosis, Biliary","Liver Cirrhosis, Biliary",1,1,0,1,Pan-UKB,Pan-UKB::biomarkers|30730|both_sexes||irnt,Gamma glutamyltransferase,biomarkers|30730|both_sexes||irnt,GRCh37,Proxy biomarker,Liver enzymes and albumin measure hepatic injury or function rather than a specific liver diagnosis.,hepatic,gamma_glutamyltransferase,"CSA,EAS,EUR","CSA,EAS",True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_d72d7ea4c45787f6
D065626,Non-alcoholic Fatty Liver Disease,Non-alcoholic Fatty Liver Disease,1,1,0,1,Pan-UKB,Pan-UKB::biomarkers|30620|both_sexes||irnt,Alanine aminotransferase,biomarkers|30620|both_sexes||irnt,GRCh37,Proxy biomarker,Liver enzymes and albumin measure hepatic injury or function rather than a specific liver diagnosis.,hepatic,alanine_aminotransferase,"AFR,CSA,EUR","AFR,CSA",True,REVIEW,,,PRIMARY,Proxy biomarker,Locked as the single primary representation of this indication.,map_3f38f5939ec50566
D065626,Non-alcoholic Fatty Liver Disease,Non-alcoholic Fatty Liver Disease,1,1,0,1,Pan-UKB,Pan-UKB::biomarkers|30600|both_sexes||irnt,Albumin,biomarkers|30600|both_sexes||irnt,GRCh37,Proxy biomarker,Liver enzymes and albumin measure hepatic injury or function rather than a specific liver diagnosis.,hepatic,albumin,"AFR,CSA,EUR","AFR,CSA",True,REVIEW,,,REJECT,Proxy biomarker,"Candidate is redundant, less specific, or not selected.",map_88dbee367325659e
D065626,Non-alcoholic Fatty Liver Disease,Non-alcoholic Fatty Liver Disease,1,1,0,1,Pan-UKB,Pan-UKB::biomarkers|30610|both_sexes||irnt,Alkaline phosphatase,biomarkers|30610|both_sexes||irnt,GRCh37,Proxy biomarker,Liver enzymes and albumin measure hepatic injury or function rather than a specific liver diagnosis.,hepatic_bone,alkaline_phosphatase,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,REJECT,Proxy biomarker,"Candidate is redundant, less specific, or not selected.",map_7402b55e98bb0acd
D065626,Non-alcoholic Fatty Liver Disease,Non-alcoholic Fatty Liver Disease,1,1,0,1,Pan-UKB,Pan-UKB::biomarkers|30730|both_sexes||irnt,Gamma glutamyltransferase,biomarkers|30730|both_sexes||irnt,GRCh37,Proxy biomarker,Liver enzymes and albumin measure hepatic injury or function rather than a specific liver diagnosis.,hepatic,gamma_glutamyltransferase,"CSA,EAS,EUR","CSA,EAS",True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_685d9805d9aa2d85
D011087,Polycythemia Vera,Polycythemia Vera,1,1,1,0,Pan-UKB,Pan-UKB::continuous|30030|both_sexes||irnt,Haematocrit percentage,continuous|30030|both_sexes||irnt,GRCh37,Direct quantitative readout,Red-cell concentration measures directly represent erythrocytosis.,hematology,haematocrit,"CSA,EUR",CSA,True,REVIEW,,,PRIMARY,Direct quantitative readout,Locked as the single primary representation of this indication.,map_19b3731bad31a1f7
D011087,Polycythemia Vera,Polycythemia Vera,1,1,1,0,Pan-UKB,Pan-UKB::continuous|30020|both_sexes||irnt,Haemoglobin concentration,continuous|30020|both_sexes||irnt,GRCh37,Direct quantitative readout,Red-cell concentration measures directly represent erythrocytosis.,hematology,haemoglobin,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Direct quantitative readout,Retained only for prespecified sensitivity analysis.,map_e230885214cbbb00
D011087,Polycythemia Vera,Polycythemia Vera,1,1,1,0,Pan-UKB,Pan-UKB::continuous|30010|both_sexes||irnt,Red blood cell (erythrocyte) count,continuous|30010|both_sexes||irnt,GRCh37,Direct quantitative readout,Red-cell concentration measures directly represent erythrocytosis.,hematology,red_blood_cell_count,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,SENSITIVITY,Direct quantitative readout,Retained only for prespecified sensitivity analysis.,map_a0aa5ed837a48aeb
D011655,Pulmonary Embolism,Pulmonary Embolism,1,1,1,0,GBMI,GBMI::VTE,Venous thromboembolism,VTE,GRCh38,Direct disease,The GBMI endpoint is an exact or clinically equivalent disease endpoint.,direct_disease,VTE,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",True,REVIEW,,,PRIMARY,Direct disease,Locked as the single primary representation of this indication.,map_31a87e71c50f515c
